date,country,SiteName,Technology,updatedby,updatetime,Volume
2024-01-01,France,Blenod-5,Gas,petroineos,2026-06-04 08:24:55.568636,6753.0
2024-01-01,Great Britain,Hornsea-1,Wind,petroineos,2026-06-04 08:24:55.513189,260.166079
2024-01-01,Great Britain,Hornsea-2,Wind,petroineos,2026-06-04 08:24:55.513189,85.60342828
2024-01-01,Great Britain,Pembroke-1,Gas,petroineos,2026-06-04 08:24:55.531654,6570.0
2024-01-01,Great Britain,Pembroke-2,Gas,petroineos,2026-06-04 08:24:55.531654,8398.0
2024-01-02,France,Blenod-5,Gas,petroineos,2026-06-04 08:24:55.568636,3896.0
2024-01-02,Great Britain,Hornsea-1,Wind,petroineos,2026-06-04 08:24:55.513189,709.48082
2024-01-02,Great Britain,Hornsea-2,Wind,petroineos,2026-06-04 08:24:55.513189,379.7822219
2024-01-02,Great Britain,Pembroke-1,Gas,petroineos,2026-06-04 08:24:55.531654,8068.0
2024-01-02,Great Britain,Pembroke-2,Gas,petroineos,2026-06-04 08:24:55.531654,8941.0
2024-01-03,France,Blenod-5,Gas,petroineos,2026-06-04 08:24:55.568636,3636.0
2024-01-03,Great Britain,Hornsea-1,Wind,petroineos,2026-06-04 08:24:55.513189,431.5276805
2024-01-03,Great Britain,Hornsea-2,Wind,petroineos,2026-06-04 08:24:55.513189,260.832893
2024-01-03,Great Britain,Pembroke-1,Gas,petroineos,2026-06-04 08:24:55.531654,7225.0
2024-01-03,Great Britain,Pembroke-2,Gas,petroineos,2026-06-04 08:24:55.531654,8626.0
2024-01-04,France,Blenod-5,Gas,petroineos,2026-06-04 08:24:55.568636,5138.0
2024-01-04,Great Britain,Hornsea-1,Wind,petroineos,2026-06-04 08:24:55.513189,223.8684725
2024-01-04,Great Britain,Hornsea-2,Wind,petroineos,2026-06-04 08:24:55.513189,-550.3079269
2024-01-04,Great Britain,Pembroke-1,Gas,petroineos,2026-06-04 08:24:55.531654,5390.0
2024-01-04,Great Britain,Pembroke-2,Gas,petroineos,2026-06-04 08:24:55.531654,6347.0
2024-01-05,France,Blenod-5,Gas,petroineos,2026-06-04 08:24:55.568636,5265.0
2024-01-05,Great Britain,Hornsea-1,Wind,petroineos,2026-06-04 08:24:55.513189,686.9850089
2024-01-05,Great Britain,Hornsea-2,Wind,petroineos,2026-06-04 08:24:55.513189,-523.8998475
2024-01-05,Great Britain,Pembroke-1,Gas,petroineos,2026-06-04 08:24:55.531654,6720.0
2024-01-05,Great Britain,Pembroke-2,Gas,petroineos,2026-06-04 08:24:55.531654,5204.0
2024-01-06,France,Blenod-5,Gas,petroineos,2026-06-04 08:24:55.568636,5052.0
2024-01-06,Great Britain,Hornsea-1,Wind,petroineos,2026-06-04 08:24:55.513189,482.9389507
2024-01-06,Great Britain,Hornsea-2,Wind,petroineos,2026-06-04 08:24:55.513189,521.654297
2024-01-06,Great Britain,Pembroke-1,Gas,petroineos,2026-06-04 08:24:55.531654,7354.0
2024-01-06,Great Britain,Pembroke-2,Gas,petroineos,2026-06-04 08:24:55.531654,7311.0
2024-01-07,France,Blenod-5,Gas,petroineos,2026-06-04 08:24:55.568636,6136.0
2024-01-07,Great Britain,Hornsea-1,Wind,petroineos,2026-06-04 08:24:55.513189,391.9681302
2024-01-07,Great Britain,Hornsea-2,Wind,petroineos,2026-06-04 08:24:55.513189,476.9700995
2024-01-07,Great Britain,Pembroke-1,Gas,petroineos,2026-06-04 08:24:55.531654,6613.0
2024-01-07,Great Britain,Pembroke-2,Gas,petroineos,2026-06-04 08:24:55.531654,8512.0
2024-01-08,France,Blenod-5,Gas,petroineos,2026-06-04 08:24:55.568636,5554.0
2024-01-08,Great Britain,Hornsea-1,Wind,petroineos,2026-06-04 08:24:55.513189,478.3591693
2024-01-08,Great Britain,Hornsea-2,Wind,petroineos,2026-06-04 08:24:55.513189,853.0502171
2024-01-08,Great Britain,Pembroke-1,Gas,petroineos,2026-06-04 08:24:55.531654,8739.0
2024-01-08,Great Britain,Pembroke-2,Gas,petroineos,2026-06-04 08:24:55.531654,5353.0
2024-01-09,France,Blenod-5,Gas,petroineos,2026-06-04 08:24:55.568636,3533.0
2024-01-09,Great Britain,Hornsea-1,Wind,petroineos,2026-06-04 08:24:55.513189,730.1891955
2024-01-09,Great Britain,Hornsea-2,Wind,petroineos,2026-06-04 08:24:55.513189,353.8227219
2024-01-09,Great Britain,Pembroke-1,Gas,petroineos,2026-06-04 08:24:55.531654,7078.0
2024-01-09,Great Britain,Pembroke-2,Gas,petroineos,2026-06-04 08:24:55.531654,8133.0
2024-01-10,France,Blenod-5,Gas,petroineos,2026-06-04 08:24:55.568636,5835.0
2024-01-10,Great Britain,Hornsea-1,Wind,petroineos,2026-06-04 08:24:55.513189,108.9094077
2024-01-10,Great Britain,Hornsea-2,Wind,petroineos,2026-06-04 08:24:55.513189,381.8532617
2024-01-10,Great Britain,Pembroke-1,Gas,petroineos,2026-06-04 08:24:55.531654,6384.0
2024-01-10,Great Britain,Pembroke-2,Gas,petroineos,2026-06-04 08:24:55.531654,5684.0
2024-01-11,France,Blenod-5,Gas,petroineos,2026-06-04 08:24:55.568636,4914.0
2024-01-11,Great Britain,Hornsea-1,Wind,petroineos,2026-06-04 08:24:55.513189,788.0407364
2024-01-11,Great Britain,Hornsea-2,Wind,petroineos,2026-06-04 08:24:55.513189,258.9121837
2024-01-11,Great Britain,Pembroke-1,Gas,petroineos,2026-06-04 08:24:55.531654,7589.0
2024-01-11,Great Britain,Pembroke-2,Gas,petroineos,2026-06-04 08:24:55.531654,7648.0
2024-01-12,France,Blenod-5,Gas,petroineos,2026-06-04 08:24:55.568636,6393.0
2024-01-12,Great Britain,Hornsea-1,Wind,petroineos,2026-06-04 08:24:55.513189,900.6480505
2024-01-12,Great Britain,Hornsea-2,Wind,petroineos,2026-06-04 08:24:55.513189,631.6111419
2024-01-12,Great Britain,Pembroke-1,Gas,petroineos,2026-06-04 08:24:55.531654,5647.0
2024-01-12,Great Britain,Pembroke-2,Gas,petroineos,2026-06-04 08:24:55.531654,6145.0
2024-01-13,France,Blenod-5,Gas,petroineos,2026-06-04 08:24:55.568636,6360.0
2024-01-13,Great Britain,Hornsea-1,Wind,petroineos,2026-06-04 08:24:55.513189,450.2771879
2024-01-13,Great Britain,Hornsea-2,Wind,petroineos,2026-06-04 08:24:55.513189,892.3861654
2024-01-13,Great Britain,Pembroke-1,Gas,petroineos,2026-06-04 08:24:55.531654,7192.0
2024-01-13,Great Britain,Pembroke-2,Gas,petroineos,2026-06-04 08:24:55.531654,8647.0
2024-01-14,France,Blenod-5,Gas,petroineos,2026-06-04 08:24:55.568636,5534.0
2024-01-14,Great Britain,Hornsea-1,Wind,petroineos,2026-06-04 08:24:55.513189,345.2368978
2024-01-14,Great Britain,Hornsea-2,Wind,petroineos,2026-06-04 08:24:55.513189,408.9103229
2024-01-14,Great Britain,Pembroke-1,Gas,petroineos,2026-06-04 08:24:55.531654,6325.0
2024-01-14,Great Britain,Pembroke-2,Gas,petroineos,2026-06-04 08:24:55.531654,5970.0
2024-01-15,France,Blenod-5,Gas,petroineos,2026-06-04 08:24:55.568636,4809.0
2024-01-15,Great Britain,Hornsea-1,Wind,petroineos,2026-06-04 08:24:55.513189,897.1257019
2024-01-15,Great Britain,Hornsea-2,Wind,petroineos,2026-06-04 08:24:55.513189,566.7478953
2024-01-15,Great Britain,Pembroke-1,Gas,petroineos,2026-06-04 08:24:55.531654,8609.0
2024-01-15,Great Britain,Pembroke-2,Gas,petroineos,2026-06-04 08:24:55.531654,7241.0
2024-01-16,France,Blenod-5,Gas,petroineos,2026-06-04 08:24:55.568636,6890.0
2024-01-16,Great Britain,Hornsea-1,Wind,petroineos,2026-06-04 08:24:55.513189,675.5370319
2024-01-16,Great Britain,Hornsea-2,Wind,petroineos,2026-06-04 08:24:55.513189,531.1907346
2024-01-16,Great Britain,Pembroke-1,Gas,petroineos,2026-06-04 08:24:55.531654,5487.0
2024-01-16,Great Britain,Pembroke-2,Gas,petroineos,2026-06-04 08:24:55.531654,7668.0
2024-01-17,France,Blenod-5,Gas,petroineos,2026-06-04 08:24:55.568636,4912.0
2024-01-17,Great Britain,Hornsea-1,Wind,petroineos,2026-06-04 08:24:55.513189,790.0488941
2024-01-17,Great Britain,Hornsea-2,Wind,petroineos,2026-06-04 08:24:55.513189,275.2458937
2024-01-17,Great Britain,Pembroke-1,Gas,petroineos,2026-06-04 08:24:55.531654,6444.0
2024-01-17,Great Britain,Pembroke-2,Gas,petroineos,2026-06-04 08:24:55.531654,8832.0
2024-01-18,France,Blenod-5,Gas,petroineos,2026-06-04 08:24:55.568636,3295.0
2024-01-18,Great Britain,Hornsea-1,Wind,petroineos,2026-06-04 08:24:55.513189,626.4812484
2024-01-18,Great Britain,Hornsea-2,Wind,petroineos,2026-06-04 08:24:55.513189,442.5881167
2024-01-18,Great Britain,Pembroke-1,Gas,petroineos,2026-06-04 08:24:55.531654,6492.0
2024-01-18,Great Britain,Pembroke-2,Gas,petroineos,2026-06-04 08:24:55.531654,6995.0
2024-01-19,France,Blenod-5,Gas,petroineos,2026-06-04 08:24:55.568636,4808.0
2024-01-19,Great Britain,Hornsea-1,Wind,petroineos,2026-06-04 08:24:55.513189,44.93792871
2024-01-19,Great Britain,Hornsea-2,Wind,petroineos,2026-06-04 08:24:55.513189,820.5583359
2024-01-19,Great Britain,Pembroke-1,Gas,petroineos,2026-06-04 08:24:55.531654,7944.0
2024-01-19,Great Britain,Pembroke-2,Gas,petroineos,2026-06-04 08:24:55.531654,5902.0
2024-01-20,France,Blenod-5,Gas,petroineos,2026-06-04 08:24:55.568636,5244.0
2024-01-20,Great Britain,Hornsea-1,Wind,petroineos,2026-06-04 08:24:55.513189,798.2779073
2024-01-20,Great Britain,Hornsea-2,Wind,petroineos,2026-06-04 08:24:55.513189,786.4904191
2024-01-20,Great Britain,Pembroke-1,Gas,petroineos,2026-06-04 08:24:55.531654,7380.0
2024-01-20,Great Britain,Pembroke-2,Gas,petroineos,2026-06-04 08:24:55.531654,5189.0
2024-01-21,France,Blenod-5,Gas,petroineos,2026-06-04 08:24:55.568636,5270.0
2024-01-21,Great Britain,Hornsea-1,Wind,petroineos,2026-06-04 08:24:55.513189,192.2338835
2024-01-21,Great Britain,Hornsea-2,Wind,petroineos,2026-06-04 08:24:55.513189,491.3049929
2024-01-21,Great Britain,Pembroke-1,Gas,petroineos,2026-06-04 08:24:55.531654,8905.0
2024-01-21,Great Britain,Pembroke-2,Gas,petroineos,2026-06-04 08:24:55.531654,7275.0
2024-01-22,France,Blenod-5,Gas,petroineos,2026-06-04 08:24:55.568636,4784.0
2024-01-22,Great Britain,Hornsea-1,Wind,petroineos,2026-06-04 08:24:55.513189,144.8361681
2024-01-22,Great Britain,Hornsea-2,Wind,petroineos,2026-06-04 08:24:55.513189,270.6201072
2024-01-22,Great Britain,Pembroke-1,Gas,petroineos,2026-06-04 08:24:55.531654,7085.0
2024-01-22,Great Britain,Pembroke-2,Gas,petroineos,2026-06-04 08:24:55.531654,6120.0
2024-01-23,France,Blenod-5,Gas,petroineos,2026-06-04 08:24:55.568636,6627.0
2024-01-23,Great Britain,Hornsea-1,Wind,petroineos,2026-06-04 08:24:55.513189,100.2454953
2024-01-23,Great Britain,Hornsea-2,Wind,petroineos,2026-06-04 08:24:55.513189,94.18345384
2024-01-23,Great Britain,Pembroke-1,Gas,petroineos,2026-06-04 08:24:55.531654,6458.0
2024-01-23,Great Britain,Pembroke-2,Gas,petroineos,2026-06-04 08:24:55.531654,8827.0
2024-01-24,France,Blenod-5,Gas,petroineos,2026-06-04 08:24:55.568636,4324.0
2024-01-24,Great Britain,Hornsea-1,Wind,petroineos,2026-06-04 08:24:55.513189,730.7456099
2024-01-24,Great Britain,Hornsea-2,Wind,petroineos,2026-06-04 08:24:55.513189,458.764209
2024-01-24,Great Britain,Pembroke-1,Gas,petroineos,2026-06-04 08:24:55.531654,6741.0
2024-01-24,Great Britain,Pembroke-2,Gas,petroineos,2026-06-04 08:24:55.531654,7415.0
2024-01-25,France,Blenod-5,Gas,petroineos,2026-06-04 08:24:55.568636,4405.0
2024-01-25,Great Britain,Hornsea-1,Wind,petroineos,2026-06-04 08:24:55.513189,612.8433146
2024-01-25,Great Britain,Hornsea-2,Wind,petroineos,2026-06-04 08:24:55.513189,116.3026079
2024-01-25,Great Britain,Pembroke-1,Gas,petroineos,2026-06-04 08:24:55.531654,7837.0
2024-01-25,Great Britain,Pembroke-2,Gas,petroineos,2026-06-04 08:24:55.531654,8381.0
2024-01-26,France,Blenod-5,Gas,petroineos,2026-06-04 08:24:55.568636,5643.0
2024-01-26,Great Britain,Hornsea-1,Wind,petroineos,2026-06-04 08:24:55.513189,659.2915398
2024-01-26,Great Britain,Hornsea-2,Wind,petroineos,2026-06-04 08:24:55.513189,558.1351107
2024-01-26,Great Britain,Pembroke-1,Gas,petroineos,2026-06-04 08:24:55.531654,7634.0
2024-01-26,Great Britain,Pembroke-2,Gas,petroineos,2026-06-04 08:24:55.531654,8033.0
2024-01-27,France,Blenod-5,Gas,petroineos,2026-06-04 08:24:55.568636,4705.0
2024-01-27,Great Britain,Hornsea-1,Wind,petroineos,2026-06-04 08:24:55.513189,451.8726763
2024-01-27,Great Britain,Hornsea-2,Wind,petroineos,2026-06-04 08:24:55.513189,593.8729152
2024-01-27,Great Britain,Pembroke-1,Gas,petroineos,2026-06-04 08:24:55.531654,6196.0
2024-01-27,Great Britain,Pembroke-2,Gas,petroineos,2026-06-04 08:24:55.531654,5074.0
2024-01-28,France,Blenod-5,Gas,petroineos,2026-06-04 08:24:55.568636,5810.0
2024-01-28,Great Britain,Hornsea-1,Wind,petroineos,2026-06-04 08:24:55.513189,868.490846
2024-01-28,Great Britain,Hornsea-2,Wind,petroineos,2026-06-04 08:24:55.513189,125.8344082
2024-01-28,Great Britain,Pembroke-1,Gas,petroineos,2026-06-04 08:24:55.531654,7953.0
2024-01-28,Great Britain,Pembroke-2,Gas,petroineos,2026-06-04 08:24:55.531654,5886.0
2024-01-29,France,Blenod-5,Gas,petroineos,2026-06-04 08:24:55.568636,6190.0
2024-01-29,Great Britain,Hornsea-1,Wind,petroineos,2026-06-04 08:24:55.513189,113.7878374
2024-01-29,Great Britain,Hornsea-2,Wind,petroineos,2026-06-04 08:24:55.513189,425.575702
2024-01-29,Great Britain,Pembroke-1,Gas,petroineos,2026-06-04 08:24:55.531654,7546.0
2024-01-29,Great Britain,Pembroke-2,Gas,petroineos,2026-06-04 08:24:55.531654,8424.0
2024-01-30,France,Blenod-5,Gas,petroineos,2026-06-04 08:24:55.568636,6101.0
2024-01-30,Great Britain,Hornsea-1,Wind,petroineos,2026-06-04 08:24:55.513189,361.0639685
2024-01-30,Great Britain,Hornsea-2,Wind,petroineos,2026-06-04 08:24:55.513189,375.6740994
2024-01-30,Great Britain,Pembroke-1,Gas,petroineos,2026-06-04 08:24:55.531654,6526.0
2024-01-30,Great Britain,Pembroke-2,Gas,petroineos,2026-06-04 08:24:55.531654,7735.0
2024-01-31,France,Blenod-5,Gas,petroineos,2026-06-04 08:24:55.568636,3347.0
2024-01-31,Great Britain,Hornsea-1,Wind,petroineos,2026-06-04 08:24:55.513189,519.6749892
2024-01-31,Great Britain,Hornsea-2,Wind,petroineos,2026-06-04 08:24:55.513189,350.8577315
2024-01-31,Great Britain,Pembroke-1,Gas,petroineos,2026-06-04 08:24:55.531654,7749.0
2024-01-31,Great Britain,Pembroke-2,Gas,petroineos,2026-06-04 08:24:55.531654,7132.0
2024-02-01,France,Blenod-5,Gas,petroineos,2026-06-04 08:24:55.568636,3648.0
2024-02-01,Great Britain,Hornsea-1,Wind,petroineos,2026-06-04 08:24:55.513189,530.6005281
2024-02-01,Great Britain,Hornsea-2,Wind,petroineos,2026-06-04 08:24:55.513189,133.2142362
2024-02-01,Great Britain,Pembroke-1,Gas,petroineos,2026-06-04 08:24:55.531654,8970.0
2024-02-01,Great Britain,Pembroke-2,Gas,petroineos,2026-06-04 08:24:55.531654,5181.0
2024-02-02,France,Blenod-5,Gas,petroineos,2026-06-04 08:24:55.568636,6059.0
2024-02-02,Great Britain,Hornsea-1,Wind,petroineos,2026-06-04 08:24:55.513189,282.0222728
2024-02-02,Great Britain,Hornsea-2,Wind,petroineos,2026-06-04 08:24:55.513189,244.8115306
2024-02-02,Great Britain,Pembroke-1,Gas,petroineos,2026-06-04 08:24:55.531654,7160.0
2024-02-02,Great Britain,Pembroke-2,Gas,petroineos,2026-06-04 08:24:55.531654,8796.0
2024-02-03,France,Blenod-5,Gas,petroineos,2026-06-04 08:24:55.568636,4576.0
2024-02-03,Great Britain,Hornsea-1,Wind,petroineos,2026-06-04 08:24:55.513189,708.5709006
2024-02-03,Great Britain,Hornsea-2,Wind,petroineos,2026-06-04 08:24:55.513189,359.7634625
2024-02-03,Great Britain,Pembroke-1,Gas,petroineos,2026-06-04 08:24:55.531654,7408.0
2024-02-03,Great Britain,Pembroke-2,Gas,petroineos,2026-06-04 08:24:55.531654,5932.0
2024-02-04,France,Blenod-5,Gas,petroineos,2026-06-04 08:24:55.568636,4906.0
2024-02-04,Great Britain,Hornsea-1,Wind,petroineos,2026-06-04 08:24:55.513189,44.27761517
2024-02-04,Great Britain,Hornsea-2,Wind,petroineos,2026-06-04 08:24:55.513189,807.4361658
